"OBJECT_NAME";"OBJECT_TYPE"
"AMV_AREE_TIU";"TRIGGER"
"AMV_ARGOMENTI_TIU";"TRIGGER"
"AMV_BLOB_TIU";"TRIGGER"
"AMV_CATEGORIE_TIU";"TRIGGER"
"AMV_CLASSIFICAZIONI_TIU";"TRIGGER"
"AMV_DIRITTI_TIU";"TRIGGER"
"AMV_DOCUMENTI_TIU";"TRIGGER"
"AMV_RILEVANZE_TIU";"TRIGGER"
"AMV_SEZIONI_TIU";"TRIGGER"
"AMV_TIPOLOGIE_TIU";"TRIGGER"
"AMV_VOCI_TD";"TRIGGER"
"AMV_VOCI_TIU";"TRIGGER"
"ASL_COMUNE_TB";"TRIGGER"
"ASL_COMUNE_TC";"TRIGGER"
"ASL_COMUNE_TD";"TRIGGER"
"ASL_COMUNE_TIU";"TRIGGER"
"ASL_TD";"TRIGGER"
"ASL_TIU";"TRIGGER"
"BANCHE_TD";"TRIGGER"
"BANCHE_TIU";"TRIGGER"
"CARATTERISTICH_ACC_STORICO_TIU";"TRIGGER"
"CARATTERISTICHE_ACCESSO_TB";"TRIGGER"
"CARATTERISTICHE_ACCESSO_TC";"TRIGGER"
"CARATTERISTICHE_ACCESSO_TD";"TRIGGER"
"CARATTERISTICHE_ACCESSO_TIU";"TRIGGER"
"COMUNI_TB";"TRIGGER"
"COMUNI_TC";"TRIGGER"
"COMUNI_TIU";"TRIGGER"
"CONSOLATI_TIU";"TRIGGER"
"CREDENZIALI_TIU";"TRIGGER"
"DIRITTI_ACCESSO_STORICO_TIU";"TRIGGER"
"DIRITTI_ACCESSO_TB";"TRIGGER"
"DIRITTI_ACCESSO_TC";"TRIGGER"
"DIRITTI_ACCESSO_TD";"TRIGGER"
"DIRITTI_ACCESSO_TIU";"TRIGGER"
"EVENTI_EF_TAIUD";"TRIGGER"
"EVENTI_TIU";"TRIGGER"
"EXTERNAL_FUNCTIONS_TIU";"TRIGGER"
"EXTERNAL_FUNCTIONS_TMB";"TRIGGER"
"GRUPPI_LAVORO_TIU";"TRIGGER"
"INCARICHI_TIU";"TRIGGER"
"INFORMATIVE_PRIVACY_TIU";"TRIGGER"
"ISTANZE_STORICO_TIU";"TRIGGER"
"ISTANZE_TB";"TRIGGER"
"ISTANZE_TC";"TRIGGER"
"ISTANZE_TD";"TRIGGER"
"ISTANZE_TIU";"TRIGGER"
"ISTANZE_TMB";"TRIGGER"
"KEY_ERROR_LOG_TIU";"TRIGGER"
"LDAP_STRUTTURA_TIU";"TRIGGER"
"LINGUE_AIU";"TRIGGER"
"MODULI_STORICO_TIU";"TRIGGER"
"MODULI_TD";"TRIGGER"
"MODULI_TIU";"TRIGGER"
"OMONIMIE_GESTITE_TIU";"TRIGGER"
"PARAMETRI_RICHIESTA_TIU";"TRIGGER"
"PROVINCE_TIU";"TRIGGER"
"RAGGRUPPAMENTI_STATI_TIU";"TRIGGER"
"REGIONI_TIU";"TRIGGER"
"REGISTRO_AD4_TIU";"TRIGGER"
"REGISTRO_STORICO_TIU";"TRIGGER"
"REGISTRO_TB";"TRIGGER"
"REGISTRO_TC";"TRIGGER"
"RICHIESTE_ABILITAZIONE_TIU";"TRIGGER"
"RUOLI_TAIU";"TRIGGER"
"RUOLI_TD";"TRIGGER"
"RUOLI_TIU";"TRIGGER"
"SERVIZI_TD";"TRIGGER"
"SERVIZI_TIU";"TRIGGER"
"SI4_USER_SOURCE_TIU";"TRIGGER"
"SPAZIO_FILE_SYSTEM_TIU";"TRIGGER"
"SPAZIO_ID_FILE_SYSTEM_TIU";"TRIGGER"
"SPAZIO_LOG_TIU";"TRIGGER"
"SPAZIO_SISTEMA_OPERATIVO_TIU";"TRIGGER"
"SPAZIO_TABLESPACE_TIU";"TRIGGER"
"SPORTELLI_TIU";"TRIGGER"
"STATI_TERRITORI_TIU";"TRIGGER"
"UTENTI_GRUPPO_STORICO_TIU";"TRIGGER"
"UTENTI_GRUPPO_TB";"TRIGGER"
"UTENTI_GRUPPO_TC";"TRIGGER"
"UTENTI_GRUPPO_TD";"TRIGGER"
"UTENTI_GRUPPO_TIU";"TRIGGER"
"UTENTI_PRIVACY_TIU";"TRIGGER"
"UTENTI_PWD_STORICO_TIU";"TRIGGER"
"UTENTI_SOGGETTI_STORICO_TIU";"TRIGGER"
"UTENTI_STORICO_TIU";"TRIGGER"
"UTENTI_TB";"TRIGGER"
"UTENTI_TC";"TRIGGER"
"UTENTI_TD";"TRIGGER"
"UTENTI_TIU";"TRIGGER"
"ACCESSI";"VIEW"
"AD4_LDAP_ATTRIBUTI_VISTA";"VIEW"
"AD4_LDAP_STRUTTURA_VISTA";"VIEW"
"AD4_V_LINGUE";"VIEW"
"AMV_VISTA_DOCUMENTI";"VIEW"
"COMUNI_STATI";"VIEW"
"COMUNI_TOTALI";"VIEW"
"GRUPPI_LAVORO";"VIEW"
"INCARICHI";"VIEW"
"KEY_NTEXT";"VIEW"
"KEY_NWORD";"VIEW"
"LINGUE_VIEW";"VIEW"
"PROVINCIE";"VIEW"
"RUOLI_APPLICATIVI";"VIEW"
"SESSIONI";"VIEW"
"SIA";"VIEW"
"SIAREC11";"VIEW"
"SIAREC21";"VIEW"
"SIAREC31";"VIEW"
"SOGGETTI";"VIEW"
"STRUTTURA_UTENTI";"VIEW"
"USL";"VIEW"
"UTENTI_GRUPPI";"VIEW"
"UTENTI_VERIFICHE_VIEW";"VIEW"
"VISTA_ACCESSI";"VIEW"
"VISTA_COMUNI_STORICI";"VIEW"
"VISTA_GRUPPI_UTENTI";"VIEW"
"VISTA_REGISTRO";"VIEW"
